reward_today,future_reward,delay,key_resp.keys
49,60,89,t
67,75,119,t
78,80,162,t
11,30,7,t
15,35,13,l
27,50,21,t
40,55,62,t
78,80,162,t
49,60,89,t
11,30,7,l
67,75,119,t
15,35,13,l
27,50,21,t
40,55,62,t
49,60,89,t
27,50,21,t
40,55,62,t
67,75,119,t
11,30,7,l
78,80,162,t
15,35,13,t
49,60,89,t
40,55,62,t
78,80,162,t
11,30,7,l
27,50,21,l
15,35,13,t
67,75,119,t
78,80,162,t
27,50,21,l
49,60,89,l
40,55,62,t
67,75,119,t
11,30,7,l
15,35,13,l
67,75,119,t
40,55,62,t
11,30,7,t
49,60,89,t
15,35,13,t
27,50,21,l
78,80,162,t
78,80,162,t
67,75,119,t
40,55,62,t
11,30,7,l
27,50,21,l
15,35,13,l
49,60,89,t
15,35,13,t
11,30,7,t
27,50,21,t
67,75,119,t
49,60,89,t
40,55,62,t
78,80,162,t
49,60,89,l
78,80,162,t
27,50,21,t
67,75,119,t
15,35,13,t
11,30,7,t
40,55,62,t
78,80,162,t
40,55,62,t
27,50,21,t
67,75,119,t
49,60,89,t
15,35,13,t
11,30,7,l
40,55,62,t
78,80,162,l
11,30,7,l
67,75,119,l
27,50,21,l
15,35,13,t
49,60,89,t
40,55,62,t
49,60,89,t
67,75,119,t
15,35,13,t
11,30,7,t
78,80,162,t
27,50,21,t
11,30,7,t
27,50,21,t
15,35,13,t
78,80,162,l
67,75,119,l
49,60,89,l
40,55,62,t
15,35,13,t
27,50,21,t
40,55,62,t
49,60,89,l
78,80,162,t
11,30,7,l
67,75,119,t
11,30,7,t
49,60,89,l
78,80,162,t
40,55,62,t
67,75,119,t
27,50,21,t
15,35,13,l
